,Team,Salary,Player,Position,Season,Percentile
24,San Antonio Spurs,9900000.0,Steve Smith, SG,2002-2003,0.9049429659999999
50,Memphis Grizzlies,7000000.0,Wesley Person, SF,2002-2003,0.80608365
66,Chicago Bulls,5726000.0,Eddie Robinson, SF,2002-2003,0.7452471479999999
101,Boston Celtics,5004000.0,Eric Williams, PF,2002-2003,0.6121673000000001
126,Minnesota Timberwolves,3575000.0,Marc Jackson, PF,2002-2003,0.517110266
128,Memphis Grizzlies,3425000.0,Jason Williams, PG,2002-2003,0.509505703
151,Atlanta Hawks,2750000.0,Chris Crawford, SF,2002-2003,0.42205323200000006
244,San Antonio Spurs,800000.0,Tony Parker, PG,2002-2003,0.068441065
567,Utah Jazz,11260483.0,Carlos Boozer, PF,2005-2006,0.945
635,Dallas Mavericks,5393300.0,Marquis Daniels, SG,2005-2006,0.775
646,Miami Heat,5000000.0,Udonis Haslem, PF,2005-2006,0.7475
672,Milwaukee Bucks,4750000.0,Dan Gadzuric, C,2005-2006,0.6825
678,Golden State Warriors,4506261.0,Mike Dunleavy, SG,2005-2006,0.6675
684,Milwaukee Bucks,4340520.0,Andrew Bogut, C,2005-2006,0.6525
690,Cleveland Cavaliers,4065811.0,Drew Gooden, PF,2005-2006,0.6375
691,Charlotte Bobcats,4020120.0,Emeka Okafor, C,2005-2006,0.635
697,Atlanta Hawks,3883000.0,Marvin Williams, PF,2005-2006,0.62
700,Denver Nuggets,3713640.0,Carmelo Anthony, PF,2005-2006,0.6125
701,Philadelphia 76ers,3636364.0,Kyle Korver, SG,2005-2006,0.61
702,Chicago Bulls,3610200.0,Ben Gordon, SG,2005-2006,0.6075
709,Utah Jazz,3487440.0,Deron Williams, PG,2005-2006,0.59
710,Toronto Raptors,3410000.0,Mike James, PG,2005-2006,0.5875
715,Toronto Raptors,3348000.0,Chris Bosh, PF,2005-2006,0.575
721,"NO/Oklahoma City
 Hornets",3144240.0,Chris Paul, PG,2005-2006,0.56
724,Miami Heat,3031920.0,Dwyane Wade, SG,2005-2006,0.5525
726,Charlotte Bobcats,3000000.0,Kareem Rush, SG,2005-2006,0.5475
731,Dallas Mavericks,2947440.0,Devin Harris, PG,2005-2006,0.535
734,Charlotte Bobcats,2847360.0,Raymond Felton, PG,2005-2006,0.5275
736,Seattle SuperSonics,2812239.0,Chris Wilcox, PF,2005-2006,0.5225
737,Chicago Bulls,2800000.0,Chris Duhon, PG,2005-2006,0.52
739,LA Clippers,2753760.0,Chris Kaman, C,2005-2006,0.515
743,Atlanta Hawks,2677200.0,Josh Childress, F,2005-2006,0.505
750,Chicago Bulls,2513880.0,Kirk Hinrich, SG,2005-2006,0.4875
753,Portland Trail Blazers,2500000.0,Juan Dixon, SG,2005-2006,0.48
754,Washington Wizards,2461617.0,Caron Butler, SF,2005-2006,0.4775
755,Chicago Bulls,2443920.0,Luol Deng, SF,2005-2006,0.475
756,Washington Wizards,2433824.0,Jared Jeffries, PF,2005-2006,0.4725
757,Indiana Pacers,2420000.0,Anthony Johnson, PG,2005-2006,0.47
758,Charlotte Bobcats,2401027.0,Melvin Ely, C,2005-2006,0.4675
759,Phoenix Suns,2400000.0,James Jones, SG,2005-2006,0.465
760,Toronto Raptors,2360880.0,Charlie Villanueva, PF,2005-2006,0.4625
764,Milwaukee Bucks,2303040.0,T.J. Ford, PG,2005-2006,0.4525
765,Boston Celtics,2255350.0,Dan Dickau, PG,2005-2006,0.45
766,Toronto Raptors,2238960.0,Rafael Araujo, C,2005-2006,0.4475
767,Chicago Bulls,2200000.0,Darius Songaila, PF,2005-2006,0.445
769,New York Knicks,2162880.0,Channing Frye, F,2005-2006,0.44
771,Philadelphia 76ers,2058000.0,Andre Iguodala, SG,2005-2006,0.435
773,Washington Wizards,2011080.0,Jarvis Hayes, SF,2005-2006,0.43
774,Toronto Raptors,2000000.0,Matt Bonner, C,2005-2006,0.4275
779,Golden State Warriors,1988160.0,Ike Diogu, PF,2005-2006,0.415
780,Cleveland Cavaliers,1955160.0,Luke Jackson, SF,2005-2006,0.4125
785,Seattle SuperSonics,1815000.0,Nick Collison, F,2005-2006,0.4
788,Detroit Pistons,1763115.0,Tayshaun Prince, SF,2005-2006,0.3925
789,Seattle SuperSonics,1760000.0,Reggie Evans, C,2005-2006,0.39
792,Minnesota Timberwolves,1724280.0,Marcus Banks, PG,2005-2006,0.3825
794,Philadelphia 76ers,1699001.0,John Salmons, SF,2005-2006,0.3775
802,Seattle SuperSonics,1638000.0,Luke Ridnour, PG,2005-2006,0.3575
803,Charlotte Bobcats,1619280.0,Sean May, C,2005-2006,0.355
805,Utah Jazz,1592400.0,Kris Humphries, PF,2005-2006,0.35
806,Utah Jazz,1592400.0,Devin Brown, SG,2005-2006,0.3475
809,Milwaukee Bucks,1556160.0,Reece Gaines, PG,2005-2006,0.34
811,Minnesota Timberwolves,1538400.0,Rashad McCants, SG,2005-2006,0.335
814,New Jersey Nets,1461360.0,Antoine Wright, SF,2005-2006,0.3275
815,"NO/Oklahoma City
 Hornets",1437240.0,Kirk Snyder, SG,2005-2006,0.325
818,Toronto Raptors,1388400.0,Joey Graham, SF,2005-2006,0.3175
819,"NO/Oklahoma City
 Hornets",1334160.0,David West, F,2005-2006,0.315
820,Indiana Pacers,1318920.0,Danny Granger, SF,2005-2006,0.3125
821,"NO/Oklahoma City
 Hornets",1300000.0,Rasual Butler, SF,2005-2006,0.31
826,Memphis Grizzlies,1223160.0,Dahntay Jones, SG,2005-2006,0.2975
827,Memphis Grizzlies,1196520.0,Hakim Warrick, PF,2005-2006,0.295
828,Orlando Magic,1189200.0,Jameer Nelson, G,2005-2006,0.2925
830,Denver Nuggets,1148760.0,Julius Hodge, SG,2005-2006,0.2875
837,Utah Jazz,1125000.0,Keith McLeod, PG,2005-2006,0.27
838,Los Angeles Lakers,1125000.0,Luke Walton, SF,2005-2006,0.2675
839,New York Knicks,1102680.0,Nate Robinson, PG,2005-2006,0.265
840,Miami Heat,1100000.0,Jason Kapono, SG,2005-2006,0.2625
841,Charlotte Bobcats,1100000.0,Matt Carroll, SG,2005-2006,0.26
845,Portland Trail Blazers,1058640.0,Jarrett Jack, G,2005-2006,0.25
846,Los Angeles Lakers,1038960.0,Brian Cook, PF,2005-2006,0.2475
851,Sacramento Kings,1016400.0,Francisco Garcia, SG,2005-2006,0.235
852,Boston Celtics,1010040.0,Delonte West, SG,2005-2006,0.2325
854,Atlanta Hawks,1000000.0,John Edwards, C,2005-2006,0.2275
855,Portland Trail Blazers,1000000.0,Steve Blake, PG,2005-2006,0.225
856,Houston Rockets,975600.0,Luther Head, PG,2005-2006,0.2225
858,Boston Celtics,969600.0,Tony Allen, SG,2005-2006,0.2175
860,Sacramento Kings,937440.0,Kevin Martin, SG,2005-2006,0.2125
864,Dallas Mavericks,923880.0,Josh Howard, SF,2005-2006,0.2025
866,Detroit Pistons,905640.0,Jason Maxiell, PF,2005-2006,0.1975
870,Indiana Pacers,898200.0,David Harrison, C,2005-2006,0.1875
871,Chicago Bulls,895248.0,Jannero Pargo, PG,2005-2006,0.185
874,Denver Nuggets,879360.0,Linas Kleiza, SF,2005-2006,0.1775
875,Charlotte Bobcats,869373.0,Keith Bogans, SG,2005-2006,0.175
876,Miami Heat,867720.0,Wayne Simien, PF,2005-2006,0.1725
878,New York Knicks,861360.0,David Lee, PF,2005-2006,0.1675
892,Charlotte Bobcats,745248.0,Lonny Baxter, PF,2005-2006,0.1325
902,Minnesota Timberwolves,719373.0,Ronald Dupree, SF,2005-2006,0.1075
