Team,Salary,Player,Position,Season,Percentile
Minnesota Timberwolves,25200000,Kevin Garnett, PF,2002-2003,0.996197719
Portland Trail Blazers,13500000,Damon Stoudamire, PG,2002-2003,0.992395437
Seattle SuperSonics,13080000,Gary Payton, PG,2002-2003,0.988593156
Seattle SuperSonics,12375000,Ray Allen, SG,2002-2003,0.984790875
New York Knicks,12375000,Latrell Sprewell, SG,2002-2003,0.980988593
Boston Celtics,12375000,Antoine Walker, PF,2002-2003,0.977186312
Phoenix Suns,12375000,Stephon Marbury, PG,2002-2003,0.97338403
San Antonio Spurs,12072000,Tim Duncan, C,2002-2003,0.969581749
Orlando Magic,12072000,Tracy McGrady, SG,2002-2003,0.965779468
Orlando Magic,12072000,Grant Hill, SF,2002-2003,0.961977186
Indiana Pacers,12046000,Reggie Miller, SG,2002-2003,0.958174905
Los Angeles Lakers,23571000,Shaquille O'Neal, C,2002-2003,0.954372624
Toronto Raptors,1.20E+07,Antonio Davis, PF,2002-2003,0.950570342
Dallas Mavericks,11953000,Michael Finley, SG,2002-2003,0.946768061
Sacramento Kings,11248000,Vlade Divac, C,2002-2003,0.942965779
Miami Heat,11200000,Eddie Jones, SG,2002-2003,0.939163498
Miami Heat,11121000,Brian Grant, PF,2002-2003,0.935361217
New York Knicks,1.10E+07,Allan Houston, SG,2002-2003,0.931558935
Phoenix Suns,10890000,Tom Gugliotta, PF,2002-2003,0.927756654
Milwaukee Bucks,10750000,Tim Thomas, PF,2002-2003,0.923954373
Toronto Raptors,10625000,Vince Carter, SF,2002-2003,0.920152091
San Antonio Spurs,10500000,David Robinson, C,2002-2003,0.91634981
Orlando Magic,21500000,Shawn Kemp, C,2002-2003,0.912547529
Dallas Mavericks,10003000,Nick Van Exel, PG,2002-2003,0.908745247
San Antonio Spurs,9900000,Steve Smith, SG,2002-2003,0.904942966
Atlanta Hawks,9860000,Glenn Robinson, SF,2002-2003,0.901140684
Philadelphia 76ers,9830000,Derrick Coleman, PF,2002-2003,0.897338403
Atlanta Hawks,9375000,Theo Ratliff, C,2002-2003,0.893536122
New Jersey Nets,9260000,Jason Kidd, PG,2002-2003,0.88973384
Houston Rockets,9200000,Glen Rice, SF,2002-2003,0.885931559
Seattle SuperSonics,9185000,Kenny Anderson, PG,2002-2003,0.882129278
Utah Jazz,9.00E+06,John Stockton, G,2002-2003,0.878326996
New Jersey Nets,8717000,Kerry Kittles, SG,2002-2003,0.874524715
Denver Nuggets,20625000,Juwan Howard, PF,2002-2003,0.870722433
Detroit Pistons,8421000,Clifford Robinson, PF,2002-2003,0.866920152
Portland Trail Blazers,19727000,Scottie Pippen, SF,2002-2003,0.863117871
Utah Jazz,19250000,Karl Malone, PF,2002-2003,0.859315589
Portland Trail Blazers,16200000,Rasheed Wallace, PF,2002-2003,0.855513308
New Jersey Nets,16105000,Dikembe Mutombo, C,2002-2003,0.851711027
Sacramento Kings,14343000,Chris Webber, C,2002-2003,0.847908745
Milwaukee Bucks,8050000,Toni Kukoc, SF,2002-2003,0.844106464
Portland Trail Blazers,8.00E+06,Dale Davis, PF,2002-2003,0.840304183
