,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
743,743,A.J. Price,CONN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,22,4.4,15,3,5.5,1.47,32,32.8,191,6,78,2.4,7.3,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,19,6.2-16.6,0.373,2.2-6.0,0.367,4.4-6.2,0.71,,,,,,,,,,5,32,95,31-83,0.373,30-Nov,0.367,22-31,0.71,,,,,,,,,,4891,Phoenix Suns,53838, PG,2014-2015,0.011494253
499,499,Aaron Brooks,ORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.8,3.3,3.3,13,13,1,31,17.6,3.3,4,102,123,0.829,,,,,,,,,,,,,,,,,,,,,,,,,4,37.3,14,3.5,9,2.3,3.8,1.56,31,36.8,135,4.4,80,2.6,4.7,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,37.3,18.8,6.8-14.3,0.474,2.0-5.3,0.381,3.3-3.3,1,31,36.8,17.6,6.0-13.1,0.458,2.3-5.7,0.407,3.3-4.0,0.829,4,37.3,75,27-57,0.474,21-Aug,0.381,13-13,1,31,36.8,546,186-406,0.458,72-177,0.407,102-123,0.829,1689,Houston Rockets,972720, G,2007-2008,0.210526316
1,1,Aaron Gordon,ARIZ,4,33.8,13,3.3,25,6.3,38,9.5,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.8,9,13,2.25,2.67,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.8,57,25-41,0.61,6-Apr,0.667,12-Mar,0.25,,,,,,,,,,4621,Orlando Magic,3992040, PF,2014-2015,0.632183908
2,2,Aaron Gray,PITT,3,28,6,2,17,5.7,23,7.7,11,33,28.2,114,3.5,204,6.2,318,9.6,13.6,3,11.7,5,8.3,15,25,0.6,15,25,0.6,1.4,0.6,33,14.1,5.7,10.2,189,336,0.563,189,336,0.563,1.38,0.563,2,14.5,3.5,3.5,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,7,8,2.33,3.33,0.88,33,28.2,55,83,1.67,2.36,0.66,,,,,,,,,,,,,,,,,,,3,28,35,15-25,0.6,0-0,0,9-May,0.556,,,,,,,,,,2151,Chicago Bulls,711517, C,2008-2009,0.081081081
868,868,Aaron Harrison,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36.5,79,25-59,0.424,15-30,0.5,14-19,0.737,,,,,,,,,,6241,Dallas Mavericks,91442, G,2017-2018,0.028077754
375,375,Aaron Jackson,DUQ,,,,,,,,,,,,,,,,,,,1,46,15,25,15,25,0.6,7,12,0.583,1.84,0.76,,,,,,,,,,,,,1,46,8,9,8,9,0.889,,,,,,,,1,46,8,13,8,13,0.615,7,12,0.583,1.84,0.76,,,,,,,,,,,,,1,45,4,4,6,6,3.6,0.67,33,36.5,190,5.8,97,2.9,6.3,1.96,1,45,2,2,1.78,6,6,5,0.33,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1,45,46,15.0-25.0,0.6,8.0-13.0,0.615,8.0-9.0,0.889,33,36.5,18.5,6.5-11.8,0.552,1.2-3.1,0.379,4.4-5.4,0.804,1,45,46,15-25,0.6,13-Aug,0.615,9-Aug,0.889,33,36.5,611,214-388,0.552,39-103,0.379,144-179,0.804,6254,Houston Rockets,4608, F,2017-2018,0
686,686,Abdel Nader,ISU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10.7,1.7,3,5,9,0.556,6,12,0.5,1.52,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,1,2,3.81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6165,Boston Celtics,1167333, SF,2017-2018,0.192224622
3,3,Adam Morrison,GONZ,2,38.5,5,2.5,10,5,15,7.5,7.8,,,,,,,,,,2,26,11,20.5,22,41,0.537,18,29,0.621,1.27,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28.4,2.3,5,69,158,0.437,211,404,0.522,1.52,0.56,2,38.5,7,3.5,6,3,3.6,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,24.3,8.7-18.3,0.473,1.7-5.0,0.333,5.3-7.3,0.727,30,36.5,28.4,9.3-18.7,0.498,2.3-5.3,0.437,7.5-9.6,0.775,3,37,73,26-55,0.473,15-May,0.333,16-22,0.727,30,36.5,853,280-562,0.498,69-158,0.437,224-289,0.775,1109,Charlotte Bobcats,3616680, SF,2006-2007,0.603864734
4,4,Adreian Payne,MSU,3,32.3,6,2,18,6,24,8,9.9,,,,,,,,,,,,,,,,,,,,,,33,10.4,3.8,6.7,125,222,0.563,110,189,0.582,1.55,0.597,4,20.5,6.5,6.8,26,27,0.963,33,10.4,2.4,2.9,79,95,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32.3,7,9,2.33,2.89,0.78,,,,,,,,4,30.3,20.5,5.8-12.8,0.451,2.5-5.8,0.435,6.5-6.8,0.963,,,,,,,,,,4,30.3,82,23-51,0.451,23-Oct,0.435,26-27,0.963,,,,,,,,,,4724,Minnesota Timberwolves,1855320, PF,2014-2015,0.395402299
0,0,AJ Hammons,PUR,1,38,4,4,11,11,15,15,15.8,,,,,,,,,,1,17,7,10,7,10,0.7,7,10,0.7,1.7,0.7,32,14.9,6.1,10.2,194,326,0.595,188,315,0.597,1.47,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,6,1,6,6.32,6,33,24.2,95,84,2.88,4.76,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5723,Dallas Mavericks,650000, C,2016-2017,0.147186147
