,PTS_x,DRPG_x,TOPG_x,PF_x,RPG_x
168,,6.5,,,8.5
347,,,,,
135,17.5,4.0,,,9.0
296,,7.0,,,8.4
651,26.0,,,1.0,
837,,,,,
618,21.3,,,,
398,,,,,
27,,3.5,,,7.0
337,,,,,
88,18.0,3.0,1.0,3.0,7.0
578,,,4.0,,
355,,,,,
114,,9.0,,,12.0
626,25.0,,,,
600,17.7,,,,
483,,,,,
787,18.5,,,,
593,,,2.5,,
757,16.0,,4.0,7.0,
836,,,,,
245,19.0,5.7,,,7.0
488,,,,,
609,19.5,,4.5,8.0,
352,19.3,,3.3,,
752,25.0,,2.0,,
517,22.7,,,,
627,,,,,
675,,,,,
346,,,,,
359,,,,,
714,17.3,,5.0,18.0,
367,,,,,
92,,6.0,,,9.5
624,,,,11.0,
644,,,,,
158,,10.5,,,11.0
775,,,2.6,14.0,
610,,,,3.0,
637,,,4.0,,
719,,,,3.0,
527,,,,,
422,,,,,
448,,,4.0,5.0,
307,17.0,5.0,,15.0,9.0
455,,,,,
711,,,,,
365,,,,,
12,,8.0,,4.0,8.0
723,,,,,
83,23.0,10.0,4.0,4.0,11.0
459,20.0,,1.0,0.0,
338,,,,,
580,18.3,,,,
379,46.0,,6.0,5.0,
392,,,,,
24,,3.7,,5.0,7.0
751,,,1.8,,
163,,3.3,,,6.5
497,,,,,
190,,9.0,3.0,,11.0
188,,6.0,,,9.7
371,,,,,
270,18.0,7.5,,,8.0
74,20.0,8.0,,,9.0
860,29.0,,,,
553,17.6,,3.0,5.0,
159,19.0,6.0,,,8.0
550,18.3,,,,
77,,10.0,,7.0,12.0
512,18.0,,,,
311,,5.0,,4.0,10.0
304,,5.0,,,8.0
629,19.0,,,,
10,,5.0,,,11.0
508,,,3.3,,
665,,,,,
768,,,3.0,,
852,,,,,
80,15.0,6.0,4.0,,11.0
138,21.0,5.0,2.5,4.0,7.0
564,,,,1.0,
416,,,,,
815,19.0,,,4.0,
446,16.7,,2.3,2.0,
587,,,1.0,,
322,,,,,
65,17.0,6.5,,,8.5
515,17.3,,2.0,,
784,,,,2.0,
856,19.0,,,,
172,16.7,6.5,2.3,6.0,8.0
826,,,,,
443,25.0,,,,
792,,,,,
532,24.7,,,10.0,
230,20.0,8.5,,3.0,8.5
197,,9.0,,3.0,11.0
864,18.0,,,,
15,,5.5,,3.0,6.5
34,18.0,4.0,,,7.0
778,,,2.7,6.0,
855,,,,,
649,19.0,,,,
20,19.0,5.0,,,10.0
524,19.0,,2.7,8.0,
268,,5.4,,13.0,7.8
487,,,,,
253,,6.3,,,10.3
819,,,,,
223,19.5,4.0,,3.0,9.0
182,23.5,5.5,,,9.5
646,,,,,
439,18.2,,,,
37,17.0,2.7,,,7.7
660,29.0,,,4.0,
164,19.0,5.0,,,8.0
200,,7.0,1.0,,11.0
671,19.0,,,,
816,19.0,,,2.0,
831,,,,,
428,21.0,,,,
622,,,,,
776,,,2.8,,
521,19.0,,,,
823,,,,,
874,,,,,
727,,,,,
808,20.3,,,8.0,
9,21.0,6.0,,,9.5
759,,,2.0,,
732,,,7.0,,
243,18.7,6.6,2.7,,11.2
567,,,3.0,,
391,,,2.0,7.0,
282,,4.0,,,7.0
306,26.5,7.5,,,8.0
324,,,,,
417,,,,,
406,22.3,,1.5,,
538,19.3,,4.0,3.0,
295,18.0,12.0,,,15.0
171,,4.5,,2.0,6.8
476,,,,,
832,,,,,
705,,,,,
350,,,,,
219,17.0,3.5,,,7.5
568,,,2.0,0.0,
494,,,,,
668,,,,,
247,,13.0,,,14.0
871,,,,,
341,,,,,
388,,,,2.0,
687,,,,3.0,
892,,,,,
736,,,,,
806,,,,0.0,
537,18.0,,,3.0,
463,,,,,
522,36.0,,3.0,3.0,
248,,4.8,,,7.8
146,16.5,6.0,,3.0,10.0
824,,,,,
239,,7.2,,17.0,10.7
116,20.5,10.0,,,15.0
680,,,,,
98,,8.0,,,8.0
212,17.6,5.2,,,7.4
82,24.0,8.0,,,10.0
472,,,,,
641,24.0,,1.7,,
309,25.8,8.3,,,12.3
566,,,,,
840,,,,,
280,,11.0,,,11.0
743,,,,,
41,15.5,8.0,,,12.0
810,,,,2.0,
548,,,,7.0,
894,,,,,
402,20.0,,0.0,4.0,
640,,,,,
79,19.7,10.0,,,14.3
99,25.0,6.0,5.0,10.0,9.0
790,,,,,
621,,,5.0,9.0,
557,,,2.5,4.0,
721,,,1.0,4.0,
308,,7.0,,,12.0
357,,,,,
111,29.0,6.0,,,11.0
499,,,,7.0,
777,,,2.0,,
