,Unnamed: 0,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
0,0,0,AJ Hammons,PUR,1.0,29.0,5.0,5.0,5.0,5.0,10.0,10.0,13.8,,,,,,,,,,1.0,17.0,7.0,10.0,7.0,10.0,0.7,7.0,10.0,0.7,1.7,0.7,32.0,14.9,6.1,10.2,194.0,326.0,0.595,188.0,315.0,0.597,1.47,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.5,3.0,5.0,1.5,3.64,0.6,32.0,23.5,64.0,64.0,2.0,3.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5723,Dallas Mavericks,650000.0, C,2016-2017,0.147186147
1,1,1,Aaron Gordon,ARIZ,4.0,33.8,13.0,3.3,25.0,6.3,38.0,9.5,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,33.8,9.0,13.0,2.25,2.67,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,33.8,57.0,0.6097560975609756,0.61,0.6666666666666666,0.667,0.25,0.25,,,,,,,,,,4621,Orlando Magic,3992040.0, PF,2014-2015,0.632183908
2,2,2,Aaron Gray,PITT,2.0,27.0,4.0,2.0,13.0,6.5,17.0,8.5,12.6,31.0,27.9,117.0,3.8,211.0,6.8,328.0,10.6,15.2,2.0,14.5,5.5,8.5,11.0,17.0,0.647,11.0,17.0,0.647,1.71,0.647,33.0,14.1,5.7,10.2,189.0,336.0,0.563,189.0,336.0,0.563,1.38,0.563,2.0,14.5,3.5,3.5,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,27.0,5.0,7.0,2.5,3.7,0.71,33.0,28.2,55.0,83.0,1.67,2.36,0.66,,,,,,,,,,,,,,,,,,,3.0,28.0,35.0,0.6,0.6,0,0.0,0.5555555555555556,0.556,,,,,,,,,,2151,Chicago Bulls,711517.0, C,2008-2009,0.081081081
3,3,3,Adam Morrison,GONZ,2.0,38.5,5.0,2.5,10.0,5.0,15.0,7.5,7.8,,,,,,,,,,2.0,12.0,5.0,8.0,10.0,16.0,0.625,10.0,12.0,0.833,1.5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,28.4,2.3,5.0,69.0,158.0,0.4370000000000001,211.0,404.0,0.522,1.52,0.56,2.0,38.5,7.0,3.5,6.0,3.0,3.6,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,38.5,26.0,0.5365853658536586,0.537,0.3333333333333333,0.333,0.5714285714285714,0.5710000000000001,29.0,33.9,18.5,0.49295774647887325,0.494,0.2972972972972973,0.308,0.7674418604651163,0.768,2.0,38.5,52.0,0.5365853658536586,0.537,0.3333333333333333,0.333,0.5714285714285714,0.5710000000000001,29.0,33.9,537.0,0.4939467312348668,0.494,0.308411214953271,0.308,0.768,0.768,1109,Charlotte Bobcats,3616680.0, SF,2006-2007,0.603864734
4,4,4,Adreian Payne,MSU,3.0,32.3,6.0,2.0,18.0,6.0,24.0,8.0,9.9,,,,,,,,,,,,,,,,,,,,,,33.0,10.4,3.8,6.7,125.0,222.0,0.563,110.0,189.0,0.5820000000000001,1.55,0.597,3.0,11.7,3.3,3.3,10.0,10.0,1.0,33.0,10.4,2.4,2.9,79.0,95.0,0.8320000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,2.0,4.0,2.0,10.0,0.5,,,,,,,,4.0,30.3,20.5,0.45312499999999994,0.451,0.4310344827586207,0.435,0.9558823529411765,0.963,,,,,,,,,,4.0,30.3,82.0,0.45098039215686275,0.451,0.43478260869565216,0.435,0.9629629629629629,0.963,,,,,,,,,,4724,Minnesota Timberwolves,1855320.0, PF,2014-2015,0.395402299
5,5,5,Al Horford,FLA,6.0,27.0,24.0,4.0,36.0,6.0,60.0,10.0,14.8,32.0,27.1,80.0,2.5,212.0,6.6,292.0,9.1,13.5,6.0,11.8,4.8,8.5,29.0,51.0,0.569,29.0,51.0,0.569,1.39,0.569,32.0,13.2,5.0,8.2,160.0,263.0,0.608,160.0,260.0,0.615,1.6,0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,31.7,10.0,15.0,1.67,2.11,0.67,30.0,22.7,49.0,72.0,1.63,2.87,0.68,,,,,,,,,,,,,,,,,,,6.0,27.0,71.0,0.5686274509803921,0.569,0,0.0,0.6842105263157895,0.684,,,,,,,,,,1525,Atlanta Hawks,3745800.0, C,2007-2008,0.602870813
6,6,6,Al-Farouq Aminu,WAKE,2.0,31.0,10.0,5.0,13.0,6.5,23.0,11.5,14.8,30.0,28.9,69.0,2.3,178.0,5.9,247.0,8.2,11.4,1.0,17.0,7.0,11.0,7.0,11.0,0.636,6.0,8.0,0.75,1.55,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,2.0,3.0,2.0,2.58,0.67,,,,,,,,2.0,31.0,18.0,0.375,0.375,0.2857142857142857,0.28600000000000003,0.625,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,LA Clippers,2563320.0, PF,2010-2011,0.501118568
7,7,7,Alan Williams,UCSB,1.0,31.0,4.0,4.0,6.0,6.0,10.0,10.0,12.9,28.0,28.3,114.0,4.1,186.0,6.6,300.0,10.7,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,2.0,2.0,2.58,3.0,3.0,3.0,0.67,0.67,,,,,,,,,,,,,,,,,,28.0,28.3,64.0,90.0,2.29,3.23,0.71,1.0,31.0,19.0,0.5384615384615384,0.5379999999999999,0,0.0,0.5555555555555556,0.556,28.0,28.3,17.1,0.46616541353383456,0.469,0,0.0,0.7230769230769231,0.7240000000000001,,,,,,,,,,28.0,31.1,596.0,0.5333333333333333,0.5329999999999999,0,0.0,0.6851851851851852,0.685,5323,Phoenix Suns,83397.0, PF,2015-2016,0.013856813
8,8,8,Alando Tucker,WIS,3.0,32.7,7.0,2.3,13.0,4.3,20.0,6.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.5,7.0,8.8,28.0,35.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,37.0,19.0,0.3333333333333333,0.333,1.0,1.0,0.5714285714285714,0.5710000000000001,30.0,33.2,19.0,0.45569620253164556,0.457,0.22727272727272727,0.239,0.547945205479452,0.5429999999999999,2.0,37.0,40.0,0.35714285714285715,0.35700000000000004,0.3,0.3,0.7391304347826086,0.7390000000000001,30.0,33.2,569.0,0.4568421052631579,0.457,0.23880597014925373,0.239,0.54337899543379,0.5429999999999999,1694,Phoenix Suns,931920.0, SF,2007-2008,0.198564593
9,9,9,Alexander Johnson,FSU,2.0,30.0,7.0,3.5,12.0,6.0,19.0,9.5,12.7,,,,,,,,,,2.0,21.0,9.0,12.5,18.0,25.0,0.72,18.0,22.0,0.818,1.68,0.72,31.0,9.5,3.1,5.6,97.0,175.0,0.5539999999999999,97.0,174.0,0.557,1.68,0.5539999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.5,4.0,4.0,2.0,3.56,1.0,,,,,,,,2.0,30.0,21.0,0.72,0.72,0.0,0.0,0.6,0.6,,,,,,,,,,2.0,30.0,42.0,0.72,0.72,0.0,0.0,0.6,0.6,,,,,,,,,,2598,Miami Heat,29135.0, SF,2009-2010,0.014285714
