,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
0,AJ Hammons,PUR,1,29.0,5,5.0,5,5.0,10,10.0,13.8,,,,,,,,,,1,17.0,7.0,10.0,7,10,.700,7,10,.700,1.70,.700,32,14.9,6.1,10.2,194,326,.595,188,315,.597,1.47,.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16.5,3,5,1.50,3.64,0.60,32,23.5,64,64,2.00,3.40,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aaron Gordon,ARIZ,4,33.8,13,3.3,25,6.3,38,9.5,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.8,9,13,2.25,2.67,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.8,57,25-41,.610,4-6,.667,3-12,.250,,,,,,,,,
2,Aaron Gray,PITT,2,27.0,4,2.0,13,6.5,17,8.5,12.6,31,27.9,117,3.8,211,6.8,328,10.6,15.2,2,14.5,5.5,8.5,11,17,.647,11,17,.647,1.71,.647,33,14.1,5.7,10.2,189,336,.563,189,336,.563,1.38,.563,2,14.5,3.5,3.5,7,7,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27.0,5,7,2.50,3.70,0.71,33,28.2,55,83,1.67,2.36,0.66,,,,,,,,,,,,,,,,,,,3,28.0,35,15-25,.600,0-0,.000,5-9,.556,,,,,,,,,
3,Adam Morrison,GONZ,2,38.5,5,2.5,10,5.0,15,7.5,7.8,,,,,,,,,,2,12.0,5.0,8.0,10,16,.625,10,12,.833,1.50,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28.4,2.3,5,69,158,.437,211,404,.522,1.52,.560,2,38.5,7,3.5,6,3.0,3.6,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.5,26.0,11.0-20.5,.537,2.0-6.0,.333,2.0-3.5,.571,29,33.9,18.5,7.0-14.2,.494,1.1-3.7,.308,3.3-4.3,.768,2,38.5,52,22-41,.537,4-12,.333,4-7,.571,29,33.9,537,204-413,.494,33-107,.308,96-125,.768
4,Adreian Payne,MSU,3,32.3,6,2.0,18,6.0,24,8.0,9.9,,,,,,,,,,,,,,,,,,,,,,33,10.4,3.8,6.7,125,222,.563,110,189,.582,1.55,.597,3,11.7,3.3,3.3,10,10,1.000,33,10.4,2.4,2.9,79,95,.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.0,2,4,2.00,10.00,0.50,,,,,,,,4,30.3,20.5,5.8-12.8,.451,2.5-5.8,.435,6.5-6.8,.963,,,,,,,,,,4,30.3,82,23-51,.451,10-23,.435,26-27,.963,,,,,,,,,
5,Al Horford,FLA,6,27.0,24,4.0,36,6.0,60,10.0,14.8,32,27.1,80,2.5,212,6.6,292,9.1,13.5,6,11.8,4.8,8.5,29,51,.569,29,51,.569,1.39,.569,32,13.2,5.0,8.2,160,263,.608,160,260,.615,1.60,.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.7,10,15,1.67,2.11,0.67,30,22.7,49,72,1.63,2.87,0.68,,,,,,,,,,,,,,,,,,,6,27.0,71,29-51,.569,0-0,.000,13-19,.684,,,,,,,,,
6,Al-Farouq Aminu,WAKE,2,31.0,10,5.0,13,6.5,23,11.5,14.8,30,28.9,69,2.3,178,5.9,247,8.2,11.4,1,17.0,7.0,11.0,7,11,.636,6,8,.750,1.55,.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.0,2,3,2.00,2.58,0.67,,,,,,,,2,31.0,18.0,6.0-16.0,.375,1.0-3.5,.286,5.0-8.0,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alan Williams,UCSB,1,31.0,4,4.0,6,6.0,10,10.0,12.9,28,28.3,114,4.1,186,6.6,300,10.7,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.0,2,2.00,2.58,3,3.00,3,0.67,0.67,,,,,,,,,,,,,,,,,,28,28.3,64,90,2.29,3.23,0.71,1,31.0,19.0,7.0-13.0,.538,0.0-0.0,.000,5.0-9.0,.556,28,28.3,17.1,6.2-13.3,.469,0.0-0.0,.000,4.7-6.5,.724,,,,,,,,,,28,31.1,596,224-420,.533,0-0,.000,148-216,.685
8,Alando Tucker,WIS,3,32.7,7,2.3,13,4.3,20,6.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17.5,7.0,8.8,28,35,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.0,19.0,5.0-15.0,.333,1.0-1.0,1.000,8.0-14.0,.571,30,33.2,19.0,7.2-15.8,.457,0.5-2.2,.239,4.0-7.3,.543,2,37.0,40,10-28,.357,3-10,.300,17-23,.739,30,33.2,569,217-475,.457,16-67,.239,119-219,.543
9,Alexander Johnson,FSU,2,30.0,7,3.5,12,6.0,19,9.5,12.7,,,,,,,,,,2,21.0,9.0,12.5,18,25,.720,18,22,.818,1.68,.720,31,9.5,3.1,5.6,97,175,.554,97,174,.557,1.68,.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.5,4,4,2.00,3.56,1.00,,,,,,,,2,30.0,21.0,9.0-12.5,.720,0.0-1.5,.000,3.0-5.0,.600,,,,,,,,,,2,30.0,42,18-25,.720,0-3,.000,6-10,.600,,,,,,,,,
